#Step:       Beta:       E_tot:       Err:
459             49.8943           -0.417739          0.00297001
460             50.3983           -0.416451          0.00360107
461             50.9073           -0.413254          0.00359886
462             51.4216           -0.430803          0.00241383
463              51.941           -0.439432          0.00312355
464             52.4656           -0.443208          0.00254322
465             52.9956           -0.441664          0.00257151
466             53.5309           -0.436349          0.00292418
467             54.0716           -0.430461           0.0037549
468             54.6178           -0.439412          0.00333169
469             55.1695           -0.413836          0.00244766
470             55.7268           -0.435886          0.00302655
471             56.2896           -0.427674          0.00278044
472             56.8582           -0.426623          0.00212729
473             57.4326           -0.383643          0.00472477
474             58.0127           -0.426207          0.00351007
475             58.5987           -0.429231           0.0025004
476             59.1906           -0.434818          0.00298146
477             59.7885           -0.431656          0.00384725
478             60.3924           -0.434824          0.00280551
479             61.0024           -0.440543          0.00284272
480             61.6186           -0.413988          0.00282115
481              62.241           -0.412817          0.00330121
482             62.8697             -0.4366           0.0030924
483             63.5047           -0.397662          0.00367746
484             64.1462           -0.443055          0.00260906
485             64.7942           -0.381614          0.00573884
486             65.4486           -0.435349          0.00268052
487             66.1097            -0.42366           0.0023007
488             66.7775           -0.409947          0.00400954
489              67.452           -0.435825          0.00331881
490             68.1334           -0.425445          0.00304841
491             68.8216           -0.439529          0.00354976
492             69.5167           -0.440635          0.00230203
493             70.2189            -0.42603          0.00299928
494             70.9282           -0.442892          0.00282826
495             71.6447           -0.442599          0.00281511
496             72.3684           -0.442607          0.00254372
497             73.0993            -0.42055          0.00246178
498             73.8377           -0.430313           0.0031206
499             74.5836           -0.443771          0.00293394
500             75.3369           -0.427663          0.00285623
501             76.0979           -0.428525          0.00310702
502             76.8666           -0.412265          0.00314842
503              77.643           -0.424274          0.00309961
504             78.4273           -0.436653          0.00254223
505             79.2195           -0.440269           0.0022494
506             80.0197           -0.443351          0.00303293
507             80.8279           -0.433722           0.0027666
508             81.6444           -0.444788           0.0027899
509             82.4691           -0.440777          0.00325306
510             83.3021           -0.387587            0.004903
511             84.1435           -0.427244          0.00225783
512             84.9935           -0.435151          0.00308822
